Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,language,primary_genre,mbti_personality
spotify:track:3CEkc8f1UDvI7kohz3ARpA,炙愛 - 女聲版,Am I Who I Am,陳忻玥,2020-04-13,181184,55,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語節奏藍調,華語獨立音樂","史科特音樂股份有限公司 SKR Co., Ltd.",0.463,0.505,9,-5.827,1,0.0359,0.26,0,0.114,0.324,75.887,4,Chinese,Mandopop,INTJ
spotify:track:4xNDbq22jC2Vdf6QV2uArL,當你,Begin,王心凌,2003-02-01,203200,51,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂",豐華大聲好樂,0.638,0.646,4,-4.615,1,0.0315,0.661,0,0.105,0.208,135.98,4,Chinese,Mandopop,ISTP
spotify:track:4M7VP5IiIj1saXNFINmxt3,SPOTLIGHT,幹大事,頑童Mj116,2017-11-15,214681,58,false,,2023-09-21T15:50:00Z,"華語嘻哈樂,台灣流行樂,華語流行,華語節奏藍調,華語流行樂","Rock Records Co., Ltd.",0.732,0.729,1,-7.172,0,0.0813,0.186,0.0000157,0.0942,0.234,100.037,4,English,Mandopop,ESFJ
spotify:track:25sQT3yCEgd1uE6LC9ivcs,Forever Young,垂直活著，水平留戀著。,艾怡良,2018-12-21,313906,49,false,,2023-09-21T15:50:00Z,"台灣流行樂,華語流行,華語流行樂,華語獨立音樂",Universal Music Taiwan,0.304,0.226,0,-10.707,1,0.0329,0.929,0,0.161,0.323,139.593,4,Chinese,Mandopop,INFP
spotify:track:4mDGkFRAqaYosoyWUI7QzM,在沒有你以後 (feat. 張智成),要你知道,謝和弦;張智成,2016-08-26,233636,56,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語流行樂,華語搖滾樂,華語節奏藍調,馬來西亞流行樂",WM Taiwan,0.517,0.761,9,-6.011,1,0.0351,0.294,0,0.111,0.521,131.985,4,Chinese,Mandopop,ENFJ
spotify:track:2LoGv4HSbilp1SVoQ10Qw6,Black Out (feat. 9m88),ØZI: The Album,ØZI;9m88,2018-07-10,237406,50,false,,2023-09-21T15:50:00Z,"華語節奏藍調,華語嘻哈樂,華語流行,台灣流行樂,台灣獨立音樂,華語流行樂,華語獨立音樂",新樂園 Forbidden Paradise,0.772,0.559,1,-8.735,1,0.124,0.556,0,0.101,0.794,100.056,4,English,Mandopop,ENFJ
spotify:track:5cN75zXR3M4si2toC2eF5C,我真的受傷了,學友．熱,張學友,2001-01-01,208893,54,false,,2023-09-21T15:50:00Z,"粵語流行樂,華語流行,華語流行樂,台灣流行樂",Universal Music Taiwan,0.603,0.0762,7,-21.221,1,0.0325,0.906,0.0000508,0.218,0.371,72.917,4,Chinese,Mandopop,INFP
spotify:track:122XVqEGBM36Lp0XNvsgTV,恆溫,Girls,孫盛希,2014-08-26,260647,54,false,,2023-09-21T15:50:00Z,"華語節奏藍調,台灣獨立音樂,華語流行,台灣流行樂,華語流行樂,華語獨立音樂","Rock Records Co., Ltd.",0.693,0.373,1,-8.31,1,0.0306,0.455,0,0.104,0.27,129.974,5,Chinese,Mandopop,ISTP
spotify:track:69AvckyixY1AIGRYDZ1QnO,我很好騙,都是因為愛,動力火車,2021-04-23,313281,53,false,,2023-09-21T15:50:00Z,"華語流行,台灣流行樂,華語搖滾樂,華語流行樂",HIM International Music Inc.,0.471,0.502,2,-6.357,1,0.0295,0.285,0,0.108,0.201,148.009,4,Chinese,Mandopop,INTJ
spotify:track:1ZSleGniKMWNrWvK5cGALO,路過人間 (電視劇《我們與惡的距離》插曲),路過人間,郁可唯,2019-05-03,247132,55,false,,2023-09-21T15:50:00Z,"古風歌曲,華語流行,華語流行樂,台灣流行樂",HIM International Music Inc.,0.615,0.386,3,-9.799,1,0.0312,0.825,0.00000446,0.115,0.148,129.925,4,Chinese,Mandopop,ISTP
