Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:16iOs2f9G9qRknDgM9cfAw,"Who is she","Who is she","KISS OF LIFE",2026-04-06,159000,73,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓國流行樂","S2 ENTERTAINMENT INC.",0.8,0.648,7,-4.829,0,0.0846,0.112,0,0.0528,0.633,134.018,4
spotify:track:3bmpXHVie1GTy37OkXJ7Vc,"2.0","ARIRANG","BTS",2026-03-20,169929,95,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓國流行樂","BIGHIT MUSIC",0.929,0.542,0,-4.395,1,0.0522,0.018,0.00000692,0.175,0.27,130.026,4
spotify:track:6Pv2Cowet3sAcKbGrcgHm0,"Eye-Poppin’","My First Kick","KickFlip",2026-04-06,162000,57,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:36Z,"韓國流行樂","Republic Records – KickFlip",0.595,0.863,1,-3.179,0,0.103,0.0183,0,0.169,0.634,90.579,4
spotify:track:02PyZNzTdzA1Nbxycnv93V,"Body to Body","ARIRANG","BTS",2026-03-20,189725,83,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-26T10:37:41Z,"韓國流行樂","BIGHIT MUSIC",0.674,0.788,6,-3.367,0,0.0442,0.113,0.00000216,0.168,0.495,120.016,4
spotify:track:2bAQsNqdo62T8akkIvWzGl,"RUDE!","RUDE!","Hearts2Hearts",2026-02-20,200000,87,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-28T20:02:22Z,"韓國流行樂","SM Entertainment",0.78,0.784,6,-4.2,0,0.0893,0.169,0.00000839,0.339,0.467,128.076,4
spotify:track:0KmrKOdScRDVYwWS8hkkdv,"FYA","ARIRANG","BTS",2026-03-20,180543,95,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-26T10:37:42Z,"韓國流行樂","BIGHIT MUSIC",0.705,0.817,11,-4.908,0,0.212,0.00127,0,0.11,0.457,128.955,4
spotify:track:0mYa3o6tlUN5HRippmKmwH,"GO","DEADLINE","BLACKPINK",2026-02-27,195402,81,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-03-08T19:55:22Z,"韓國流行樂","YG Entertainment",0.611,0.589,2,-9.289,0,0.0656,0.0232,0.0000757,0.252,0.203,103.124,4
spotify:track:1k0JAiH11gHL9dc5dfQjQr,"NOT CUTE ANYMORE","NOT CUTE ANYMORE","ILLIT",2025-11-24,131997,85,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-28T20:02:23Z,"韓國流行樂","BELIFT LAB",0.94,0.736,1,-5.978,1,0.0443,0.243,0.0000745,0.117,0.949,98.986,4
spotify:track:5jh0xRA7huSeMxCPAmyCav,"BANG BANG","BANG BANG","IVE",2026-02-09,178046,77,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-12T16:15:14Z,"韓國流行樂","Starship Entertainment",0.628,0.908,0,-3.118,1,0.0845,0.0105,0.00023,0.338,0.374,152.181,4
spotify:track:20QI1DhCFz7pN8rATkNguv,"To Reach You","To Reach You","10公分",2025-03-06,158680,59,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-04-14T08:44:37Z,"韓語抒情歌,原聲帶","CAM",0.571,0.824,2,-3.371,1,0.0381,0.0139,0,0.0818,0.416,125.979,4
spotify:track:4i0HNuFEH6P6K4UnsY5uUh,"Blue Valentine","Blue Valentine","NMIXX",2025-10-13,186000,74,false,316b4f64ay46nb3vgvmu24fcsrxy,2026-02-12T16:15:15Z,"韓國流行樂","Republic Records - NMIXX",0.592,0.857,9,-3.967,1,0.345,0.161,0,0.0884,0.544,159.436,4
